input,output
what is 31989417947831559794 * 58946903352166449084,1885677128062885742467436752402002528696
what is 16532169223478720333 * 21744766634402878375,359488161725002220778015887816838498875
what is -19745539535327124993 - -11742922036026440207,-8002617499300684786
what is -95844203885308190283 / 4429567604364597610,-21.64
what is 9577151031627975399 + 87545269488907300393,97122420520535275792
what is -492110693226179375 / -91988293505394124410,0.01
what is 50204173191032138059 + -64298735960376002511,-14094562769343864452
what is -67791571229051081264 * 33594760388517201641,-2277441591801067651562029776534565154224
what is -522006134408083761 - 5226295943150983919,-5748302077559067680
what is 58730699113089391981 - 40312320139990173641,18418378973099218340
what is -10181399930198438817 + 15047557025040918254,4866157094842479437
what is -60253538121805033333 / -58168537692350896131,1.04
what is 99591919930843774831 - 28159996890290004829,71431923040553770002
what is -55857838081320145895 * -65168504846712861741,3640171791729414185538880485951083703195
what is 99269863838097186721 - 31511399014831038784,67758464823266147937
what is -87240015907940193752 - -9998051012559522988,-77241964895380670764
what is 10534585467939823682 / 41870963624140693637,0.25
what is 25678412532629682903 + -48738795148598362763,-23060382615968679860
what is 66604363671336761604 - -40939148569830908479,107543512241167670083
what is 93339561622033743179 - -62803062698808719116,156142624320842462295
what is -80860650888531159426 * 59997687565183970089,-4851452068327508086148913744168874408914
what is -10548222343209836232 * -21505826364167737334,226848238163705283116557271380132285488
what is 60071073403593286886 / -69571560841590383631,-0.86
what is -9014912771889399816 - 83240889623129364553,-92255802395018764369
what is 51164763311655091378 / 30375488026825258354,1.68
what is 35641395095719531230 * 53953243673991551149,1922968874480363293976647073962847883270
what is -38418039621298735539 / -66486665962583229896,0.58
what is -17035048881767936076 + -64925044163075430976,-81960093044843367052
what is -80926959606068402833 / 4348843121499622473,-18.61
what is 39524571643892577770 / 41152568432216628050,0.96
what is -14249906725953148894 + 13951498570105139807,-298408155848009087
what is 71441561475223996898 * 39623792531993044695,2830785610055902613464427132894255356110
what is -75976518133103079051 / -2674140934693557297,28.41
what is -96798420417605967814 - 82631140114769782959,-179429560532375750773
what is 94435523304376536824 * -99651047712790267100,-9410598838586743456600481009751945690400
what is 87793599876223126805 - 4522864623153667801,83270735253069459004
what is -22948048234310498079 / -31577837997417258976,0.73
what is -4283247387513146545 / 43661306421104373391,-0.1
what is -92337735859322913282 - -73118343858986788800,-19219392000336124482
what is 13091103916475048299 / 70238013138979420887,0.19
what is -70233807518081346937 / 47619958979658652695,-1.47
what is 73100876122439214123 * 97064207243108588304,7095478589601248022463974263493709417392
what is -17279913693662697720 + -46876108434329480773,-64156022127992178493
what is 64253808387401576176 * -90196677214944416148,-5795480014949348164753064341965266490048
what is 88086552651804169492 + 81430072600521285956,169516625252325455448
what is -35899532580941623669 / 35625483984435854197,-1.01
what is 71105638014615140480 / 52903910791640800126,1.34
what is -72596488141428433268 + -1953509676640288807,-74549997818068722075
what is -12250211214803604798 / 4247073585747009388,-2.88
what is 6244203301479227437 + -38604605584338122031,-32360402282858894594
what is -89143720905104329341 * 46964277331721045154,-4186570430968858704627638439406748063514
what is -79305920221372590295 * 26536047842394153349,-2104465693179436981026365721231579147955
what is -18456676258512170951 * -77444760373252727957,1429372870127177798888030709547080977107
what is -38186995870448165698 * -81740166512055087023,3121411401045593052139302988500113537054
what is -84507950089087803987 / 24512258110930253227,-3.45
what is -41082660478815005873 - 77775093794233541259,-118857754273048547132
what is -35741348061951242486 / 13930431800629151830,-2.57
what is -1500018178234785776 * 5120245791617748060,-7680461764456782998919941953639594560
what is -17304887246163580647 / -97203754998507056544,0.18
what is -61994279236989071369 * -2879916215851176809,178538330064610747190570660870738681521
what is -36105981584201782865 + 67825582947614141419,31719601363412358554
what is -83676399410424125940 * -43951841153006259294,3677731815142467790858518080088951486360
what is -48232068751433816811 + 71487728195772088501,23255659444338271690
what is 26963324720887707231 * -77705337498899690149,-2095194247529004578179940892768926767419
what is 59205496250077623565 + -5346558349504088801,53858937900573534764
what is 62463528255122634019 / 58462649491927681008,1.07
what is 73209799381420103829 / 68776681386845171798,1.06
what is 38309407481036321995 * -57199985019749819550,-2191297534030769287387057481396946002250
what is 30807293838822016126 - -50006189369752763934,80813483208574780060
what is 94740518080471917283 - 49519594000726847579,45220924079745069704
what is -65680802580758048228 * 1462970207226454174,-96089057362371427929115775301323903672
what is 94851864737386655333 - 76610013782366088526,18241850955020566807
what is 37103302941168162312 / -4068821649524564996,-9.12
what is -70236320962260941821 + -5507455871144441655,-75743776833405383476
what is 74939315443270098093 - -45316054890840556285,120255370334110654378
what is -64567221167419355583 - -1029518123866098801,-63537703043553256782
what is -28864214912596521636 + 76647623351953731860,47783408439357210224
what is 15201214115465642953 * 91280106699916051214,1387568446427973885463223680549386194942
what is 71761514460219931083 / -20665260736406399040,-3.47
what is 1775414528212808355 + 95494920511534379459,97270335039747187814
what is -86058343988326833478 - 7729510822554519522,-93787854810881353000
what is 45267955886921504581 - -64343036982546887737,109610992869468392318
what is -77791009699312623130 * 22526553841250388602,-1752363368356797007795666270396473564260
what is -56039956788722154883 / -40453289336900320151,1.39
what is -55380698547123240936 + -59755151809335068649,-115135850356458309585
what is 18543492111832059276 / 17240916264625705814,1.08
what is -2678020363338706847 + 98880690232436747265,96202669869098040418
what is -46760650879739776317 - 562615707914481072,-47323266587654257389
what is 46742545827110673724 + -33107543373885199527,13635002453225474197
what is -91573203927007436212 * 21917260273046181972,-2007033744504956704604556553338934370064
what is 99261563451985722908 * 47780151633326847809,4742732553096972180027557718995760908572
what is -2984647241579801813 - -57799851146339205284,54815203904759403471
what is 99127010869258482789 + 44222850121312632047,143349860990571114836
what is -13480920597428650193 - 99951530097116894970,-113432450694545545163
what is 83261151167627325827 * -23170574225833957697,-1929208683257890648090086354675953540419
what is -57504458226143802533 - -80254200484938696947,22749742258794894414
what is -76013622226607727092 / 32815598213711291009,-2.32
what is 68011773088561231792 / -57943311244503141497,-1.17
what is 64466572492999882028 - -92481244981123490896,156947817474123372924
what is 80456361089378288775 + 36236092937498836696,116692454026877125471
what is 40014033741954600735 / -62518587193318655978,-0.64
what is -26659325054070557141 * 87473513262597134299,-2331984823689128944534967863176930479159
what is 66213145605038714360 + -40875211361703487558,25337934243335226802
what is -3391984686637509344 + -99408631574101707009,-102800616260739216353
what is 58042531895593977070 + 75657479298591415079,133700011194185392149
what is 5453606067952078106 * -22693315751460282827,-123760404484116271614373384217154485662
what is -69477210517976498909 * 69307517591570111264,-4815292990187876160167707484734304610976
what is -46657799879338276931 * 40966232893541485186,-1911394296157223658930689555823902044166
what is 46498820344261206480 * -92674234135766021002,-4309242563620983425877028149137538492960
what is 23853641551741536475 + -48063916333092233556,-24210274781350697081
what is 15835425918282355481 - 17725776220674145084,-1890350302391789603
what is -76406897507461216464 + 68495710989479723976,-7911186517981492488
what is 36654486873724410478 * -32755996969932958913,-1200654260970164205588962535443120690414
what is -6640176611611391818 - 87620076657856383426,-94260253269467775244
what is -61229002844786401695 / -81564522760262279284,0.75
what is -72154980589298188522 * 57979234205139216206,-4183490518654193731540926533018705587532
what is 87854610754624477992 - -95625590455124175092,183480201209748653084
what is -46243656825037891226 * 33623757394301008618,-1554885498110386098672556148479572585668
what is -36796150331672633140 / -31168807255298859742,1.18
what is -92287860942311835062 - 29807139741999711604,-122095000684311546666
what is 98060189030559579233 - -50925560597132178964,148985749627691758197
what is -62820617730129118228 - 10454246719842571580,-73274864449971689808
what is -26885991827795500354 / -66378511045967186786,0.41
what is 95397770015025184932 - 76113427934903523546,19284342080121661386
what is -14361951018336193871 * 45056319838137398024,-647096658581818657354055493703556310904
what is 66514122441075367510 + 47279626581438184404,113793749022513551914
what is 83833857086072877971 + -18543326147234905533,65290530938837972438
what is 60245223376773739194 / 31233418352843229338,1.93
what is -89370306769745015732 - -62009853809321463536,-27360452960423552196
what is 30635248700261582360 + -81397577155958505765,-50762328455696923405
what is 99688432995192420936 * -91424363051128069539,-9113951490150526280913803918301567468504
what is 30852927195449673252 + 3718419775225260012,34571346970674933264
what is 95643582177762542769 - 82879892992210837546,12763689185551705223
